realtime_start,realtime_end,date,value
2025-05-06,2025-05-06,2025-01-01,23526.085
2025-05-06,2025-05-06,2024-10-01,23542.349
2025-05-06,2025-05-06,2024-07-01,23400.294
2025-05-06,2025-05-06,2024-04-01,23223.906
2025-05-06,2025-05-06,2024-01-01,23053.545
2025-05-06,2025-05-06,2023-10-01,22960.6
2025-05-06,2025-05-06,2023-07-01,22780.933
2025-05-06,2025-05-06,2023-04-01,22539.418
2025-05-06,2025-05-06,2023-01-01,22403.435
2025-05-06,2025-05-06,2022-10-01,22249.459
2025-05-06,2025-05-06,2022-07-01,22066.784
2025-05-06,2025-05-06,2022-04-01,21919.222
2025-05-06,2025-05-06,2022-01-01,21903.85
2025-05-06,2025-05-06,2021-10-01,21960.388
2025-05-06,2025-05-06,2021-07-01,21571.421
2025-05-06,2025-05-06,2021-04-01,21389.005
2025-05-06,2025-05-06,2021-01-01,21058.379
2025-05-06,2025-05-06,2020-10-01,20771.691
2025-05-06,2025-05-06,2020-07-01,20548.793
2025-05-06,2025-05-06,2020-04-01,19056.617
