realtime_start,realtime_end,date,value
2023-12-31,2023-12-31,2019-01-01,2.4
2023-12-31,2023-12-31,2019-02-01,2.4
2023-12-31,2023-12-31,2019-03-01,2.41
2023-12-31,2023-12-31,2019-04-01,2.42
2023-12-31,2023-12-31,2019-05-01,2.39
2023-12-31,2023-12-31,2019-06-01,2.38
2023-12-31,2023-12-31,2019-07-01,2.4
2023-12-31,2023-12-31,2019-08-01,2.13
2023-12-31,2023-12-31,2019-09-01,2.04
2023-12-31,2023-12-31,2019-10-01,1.83
2023-12-31,2023-12-31,2019-11-01,1.55
2023-12-31,2023-12-31,2019-12-01,1.55
2023-12-31,2023-12-31,2020-01-01,1.55
2023-12-31,2023-12-31,2020-02-01,1.58
2023-12-31,2023-12-31,2020-03-01,0.65
2023-12-31,2023-12-31,2020-04-01,0.05
2023-12-31,2023-12-31,2020-05-01,0.05
2023-12-31,2023-12-31,2020-06-01,0.08
2023-12-31,2023-12-31,2020-07-01,0.09
2023-12-31,2023-12-31,2020-08-01,0.1
2023-12-31,2023-12-31,2020-09-01,0.09
2023-12-31,2023-12-31,2020-10-01,0.09
2023-12-31,2023-12-31,2020-11-01,0.09
2023-12-31,2023-12-31,2020-12-01,0.09
2023-12-31,2023-12-31,2021-01-01,0.09
2023-12-31,2023-12-31,2021-02-01,0.08
2023-12-31,2023-12-31,2021-03-01,0.07
2023-12-31,2023-12-31,2021-04-01,0.07
2023-12-31,2023-12-31,2021-05-01,0.06
2023-12-31,2023-12-31,2021-06-01,0.08
2023-12-31,2023-12-31,2021-07-01,0.1
2023-12-31,2023-12-31,2021-08-01,0.09
2023-12-31,2023-12-31,2021-09-01,0.08
2023-12-31,2023-12-31,2021-10-01,0.08
2023-12-31,2023-12-31,2021-11-01,0.08
2023-12-31,2023-12-31,2021-12-01,0.08
2023-12-31,2023-12-31,2022-01-01,0.08
2023-12-31,2023-12-31,2022-02-01,0.08
2023-12-31,2023-12-31,2022-03-01,0.2
2023-12-31,2023-12-31,2022-04-01,0.33
2023-12-31,2023-12-31,2022-05-01,0.77
2023-12-31,2023-12-31,2022-06-01,1.21
2023-12-31,2023-12-31,2022-07-01,1.68
2023-12-31,2023-12-31,2022-08-01,2.33
2023-12-31,2023-12-31,2022-09-01,2.56
2023-12-31,2023-12-31,2022-10-01,3.08
2023-12-31,2023-12-31,2022-11-01,3.78
2023-12-31,2023-12-31,2022-12-01,4.1
2023-12-31,2023-12-31,2023-01-01,4.33
2023-12-31,2023-12-31,2023-02-01,4.57
2023-12-31,2023-12-31,2023-03-01,4.65
2023-12-31,2023-12-31,2023-04-01,4.83
2023-12-31,2023-12-31,2023-05-01,5.06
2023-12-31,2023-12-31,2023-06-01,5.08
2023-12-31,2023-12-31,2023-07-01,5.12
2023-12-31,2023-12-31,2023-08-01,5.33
2023-12-31,2023-12-31,2023-09-01,5.33
2023-12-31,2023-12-31,2023-10-01,5.33
2023-12-31,2023-12-31,2023-11-01,5.33
