realtime_start,realtime_end,date,value,year_ago_value,yoy_growth
2025-04-22,2025-04-22,2020-04-23,73.11,,
2025-04-22,2025-04-22,2020-04-24,72.76,,
2025-04-22,2025-04-22,2020-04-25,72.35,,
2025-04-22,2025-04-22,2020-04-26,72.04,,
2025-04-22,2025-04-22,2020-04-27,71.62,,
2025-04-22,2025-04-22,2020-04-28,71.14,,
2025-04-22,2025-04-22,2020-04-29,70.67,,
2025-04-22,2025-04-22,2020-04-30,70.19,,
2025-04-22,2025-04-22,2020-05-01,69.75,,
2025-04-22,2025-04-22,2020-05-02,69.37,,
2025-04-22,2025-04-22,2020-05-03,68.94,,
2025-04-22,2025-04-22,2020-05-04,68.53,,
2025-04-22,2025-04-22,2020-05-05,68.17,,
2025-04-22,2025-04-22,2020-05-06,67.96,,
2025-04-22,2025-04-22,2020-05-07,67.72,,
2025-04-22,2025-04-22,2020-05-08,67.47,,
2025-04-22,2025-04-22,2020-05-09,67.27,,
2025-04-22,2025-04-22,2020-05-10,67.19,,
2025-04-22,2025-04-22,2020-05-11,67.02,,
2025-04-22,2025-04-22,2020-05-12,66.75,,
2025-04-22,2025-04-22,2020-05-13,66.15,,
2025-04-22,2025-04-22,2020-05-14,65.75,,
2025-04-22,2025-04-22,2020-05-15,65.53,,
2025-04-22,2025-04-22,2020-05-16,65.07,,
2025-04-22,2025-04-22,2020-05-17,64.62,,
2025-04-22,2025-04-22,2020-05-18,64.31,,
2025-04-22,2025-04-22,2020-05-19,64.08,,
2025-04-22,2025-04-22,2020-05-20,64.22,,
2025-04-22,2025-04-22,2020-05-21,64.31,,
2025-04-22,2025-04-22,2020-05-22,64.33,,
2025-04-22,2025-04-22,2020-05-23,64.46,,
2025-04-22,2025-04-22,2020-05-24,64.53,,
2025-04-22,2025-04-22,2020-05-25,64.48,,
2025-04-22,2025-04-22,2020-05-26,64.45,,
2025-04-22,2025-04-22,2020-05-27,64.35,,
2025-04-22,2025-04-22,2020-05-28,64.12,,
2025-04-22,2025-04-22,2020-05-29,63.96,,
2025-04-22,2025-04-22,2020-05-30,64.18,,
2025-04-22,2025-04-22,2020-05-31,64.16,,
2025-04-22,2025-04-22,2020-06-01,64.09,,
2025-04-22,2025-04-22,2020-06-02,64.21,,
2025-04-22,2025-04-22,2020-06-03,64.38,,
