realtime_start,realtime_end,date,value,year_ago_value,yoy_pct_change
2025-04-24,2025-04-29,2020-04-01,86.7,,
2025-04-24,2025-04-29,2020-05-01,86.5,,
2025-04-24,2025-04-29,2020-06-01,87.0,,
2025-04-24,2025-04-29,2020-07-01,86.9,,
2025-04-24,2025-04-29,2020-08-01,86.7,,
2025-04-24,2025-04-29,2020-09-01,87.6,,
2025-04-24,2025-04-29,2020-10-01,88.3,,
2025-04-24,2025-04-29,2020-11-01,88.2,,
2025-04-24,2025-04-29,2020-12-01,87.4,,
2025-04-24,2025-04-29,2021-01-01,87.2,,
2025-04-24,2025-04-29,2021-02-01,86.0,,
2025-04-24,2025-04-29,2021-03-01,86.7,,
2025-04-24,2025-04-29,2021-04-01,86.9,86.7,0.23068050749711974
2025-04-24,2025-04-29,2021-05-01,87.5,86.5,1.1560693641618496
2025-04-24,2025-04-29,2021-06-01,87.7,87.0,0.8045977011494285
2025-04-24,2025-04-29,2021-07-01,87.838,86.9,1.079401611047167
2025-04-24,2025-04-29,2021-08-01,87.692,86.7,1.1441753171856865
2025-04-24,2025-04-29,2021-09-01,87.453,87.6,-0.16780821917807234
2025-04-24,2025-04-29,2021-10-01,88.129,88.3,-0.1936579841449516
2025-04-24,2025-04-29,2021-11-01,87.977,88.2,-0.25283446712018026
2025-04-24,2025-04-29,2021-12-01,86.972,87.4,-0.4897025171624845
2025-04-24,2025-04-29,2022-01-01,88.098,87.2,1.0298165137614634
2025-04-24,2025-04-29,2022-02-01,85.477,86.0,-0.6081395348837165
2025-04-24,2025-04-29,2022-03-01,87.576,86.7,1.0103806228373593
2025-04-24,2025-04-29,2022-04-01,86.146,86.9,-0.8676639815880379
2025-04-24,2025-04-29,2022-05-01,87.323,87.5,-0.20228571428572195
2025-04-24,2025-04-29,2022-06-01,87.665,87.7,-0.03990877993158106
2025-04-24,2025-04-29,2022-07-01,88.123,87.838,0.3244609394567395
2025-04-24,2025-04-29,2022-08-01,87.476,87.692,-0.24631665374263786
2025-04-24,2025-04-29,2022-09-01,88.24,87.453,0.8999119527060158
2025-04-24,2025-04-29,2022-10-01,87.493,88.129,-0.7216693710356522
2025-04-24,2025-04-29,2022-11-01,86.037,87.977,-2.2051217931959464
2025-04-24,2025-04-29,2022-12-01,86.58,86.972,-0.45071977188060064
2025-04-24,2025-04-29,2023-01-01,88.44,88.098,0.3882040454947885
2025-04-24,2025-04-29,2023-02-01,89.142,85.477,4.287703124817193
2025-04-24,2025-04-29,2023-03-01,89.162,87.576,1.810998447063137
2025-04-24,2025-04-29,2023-04-01,88.673,86.146,2.9333921482134993
2025-04-24,2025-04-29,2023-05-01,90.221,87.323,3.3187132828693593
2025-04-24,2025-04-29,2023-06-01,90.598,87.665,3.345690982718294
2025-04-24,2025-04-29,2023-07-01,90.81,88.123,3.0491472146885576
2025-04-24,2025-04-29,2023-08-01,91.614,87.476,4.730440349352971
2025-04-24,2025-04-29,2023-09-01,91.954,88.24,4.208975521305529
2025-04-24,2025-04-29,2023-10-01,93.079,87.493,6.384510760860867
2025-04-24,2025-04-29,2023-11-01,92.048,86.037,6.9865290514546015
2025-04-24,2025-04-29,2023-12-01,93.323,86.58,7.7881727881727825
2025-04-24,2025-04-29,2024-01-01,92.945,88.44,5.093848937132514
2025-04-24,2025-04-29,2024-02-01,92.66,89.142,3.9465123062080734
2025-04-24,2025-04-29,2024-03-01,93.189,89.162,4.516498059711521
2025-04-24,2025-04-29,2024-04-01,94.741,88.673,6.843120228254371
2025-04-24,2025-04-29,2024-05-01,95.198,90.221,5.516454040633543
2025-04-24,2025-04-29,2024-06-01,96.983,90.598,7.047616945186435
2025-04-24,2025-04-29,2024-07-01,99.81,90.81,9.910802775024777
2025-04-24,2025-04-29,2024-08-01,99.007,91.614,8.069727334250224
2025-04-24,2025-04-29,2024-09-01,100.039,91.954,8.792439698109934
2025-04-24,2025-04-29,2024-10-01,101.06,93.079,8.574436768766326
2025-04-24,2025-04-29,2024-11-01,101.378,92.048,10.136015991656524
2025-04-24,2025-04-29,2024-12-01,100.642,93.323,7.842654008122331
2025-04-24,2025-04-29,2025-01-01,100.264,92.945,7.874549464737214
2025-04-24,2025-04-29,2025-02-01,100.807,92.66,8.792359162529685
2025-04-24,2025-04-29,2025-03-01,100.724,93.189,8.08571827146982
