realtime_start,realtime_end,date,value
2023-12-31,2023-12-31,2019-01-01,4.0
2023-12-31,2023-12-31,2019-02-01,3.8
2023-12-31,2023-12-31,2019-03-01,3.8
2023-12-31,2023-12-31,2019-04-01,3.6
2023-12-31,2023-12-31,2019-05-01,3.7
2023-12-31,2023-12-31,2019-06-01,3.6
2023-12-31,2023-12-31,2019-07-01,3.7
2023-12-31,2023-12-31,2019-08-01,3.7
2023-12-31,2023-12-31,2019-09-01,3.5
2023-12-31,2023-12-31,2019-10-01,3.6
2023-12-31,2023-12-31,2019-11-01,3.6
2023-12-31,2023-12-31,2019-12-01,3.6
2023-12-31,2023-12-31,2020-01-01,3.5
2023-12-31,2023-12-31,2020-02-01,3.5
2023-12-31,2023-12-31,2020-03-01,4.4
2023-12-31,2023-12-31,2020-04-01,14.7
2023-12-31,2023-12-31,2020-05-01,13.2
2023-12-31,2023-12-31,2020-06-01,11.0
2023-12-31,2023-12-31,2020-07-01,10.2
2023-12-31,2023-12-31,2020-08-01,8.4
2023-12-31,2023-12-31,2020-09-01,7.9
2023-12-31,2023-12-31,2020-10-01,6.9
2023-12-31,2023-12-31,2020-11-01,6.7
2023-12-31,2023-12-31,2020-12-01,6.7
2023-12-31,2023-12-31,2021-01-01,6.3
2023-12-31,2023-12-31,2021-02-01,6.2
2023-12-31,2023-12-31,2021-03-01,6.1
2023-12-31,2023-12-31,2021-04-01,6.1
2023-12-31,2023-12-31,2021-05-01,5.8
2023-12-31,2023-12-31,2021-06-01,5.9
2023-12-31,2023-12-31,2021-07-01,5.4
2023-12-31,2023-12-31,2021-08-01,5.2
2023-12-31,2023-12-31,2021-09-01,4.8
2023-12-31,2023-12-31,2021-10-01,4.5
2023-12-31,2023-12-31,2021-11-01,4.2
2023-12-31,2023-12-31,2021-12-01,3.9
2023-12-31,2023-12-31,2022-01-01,4.0
2023-12-31,2023-12-31,2022-02-01,3.8
2023-12-31,2023-12-31,2022-03-01,3.6
2023-12-31,2023-12-31,2022-04-01,3.6
2023-12-31,2023-12-31,2022-05-01,3.6
2023-12-31,2023-12-31,2022-06-01,3.6
2023-12-31,2023-12-31,2022-07-01,3.5
2023-12-31,2023-12-31,2022-08-01,3.7
2023-12-31,2023-12-31,2022-09-01,3.5
2023-12-31,2023-12-31,2022-10-01,3.7
2023-12-31,2023-12-31,2022-11-01,3.6
2023-12-31,2023-12-31,2022-12-01,3.5
2023-12-31,2023-12-31,2023-01-01,3.4
2023-12-31,2023-12-31,2023-02-01,3.6
2023-12-31,2023-12-31,2023-03-01,3.5
2023-12-31,2023-12-31,2023-04-01,3.4
2023-12-31,2023-12-31,2023-05-01,3.7
2023-12-31,2023-12-31,2023-06-01,3.6
2023-12-31,2023-12-31,2023-07-01,3.5
2023-12-31,2023-12-31,2023-08-01,3.8
2023-12-31,2023-12-31,2023-09-01,3.8
2023-12-31,2023-12-31,2023-10-01,3.9
2023-12-31,2023-12-31,2023-11-01,3.7
