date,T2D Pulse Score,pulse_score
2025-05-09,56.3,52.8
2025-05-08,56.7,
2025-05-07,56.3,
2025-05-06,55.8,
2025-05-05,56.0,
2025-05-02,55.7,
2025-05-01,54.2,
2025-04-30,56.3,
2025-04-29,60.6,
2025-04-28,59.7,
2025-04-25,60.9,
2025-04-24,59.6,
2025-04-23,57.6,
2025-04-22,51.5,
2025-04-21,48.8,
2025-04-17,51.3,
2025-04-16,51.1,
2025-04-15,54.6,
2025-04-14,54.7,
2025-04-11,50.6,
2025-04-10,50.9,
2025-04-09,57.6,
2025-04-08,45.0,
2025-04-07,46.8,
2025-04-04,48.9,
2025-04-03,52.3,
2025-04-02,59.9,
2025-04-01,56.2,
